title,bert-base-uncased,roberta-large,microsoft/deberta-large,facebook/bart-large,xlnet-large-cased,google/electra-large-discriminator,albert-large-v2,Average
Outbreak,0.10714285714285714,0.7857142857142857,0.9285714285714286,0.17857142857142858,0.0,0.0,0.0,0.2857142857142857
Panther,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.00510204081632653
Quiz Show,0.75,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.12244897959183673
Stuart Saves His Family,0.75,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.12244897959183673
Shallow Grave,0.5,0.0,0.0,0.0,0.0,0.03571428571428571,0.10714285714285714,0.09183673469387754
Tommy Boy,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.11224489795918369
Underneath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What's Eating Gilbert Grape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virtuosity,0.21428571428571427,0.7857142857142857,0.8214285714285714,0.25,0.0,0.0,0.0,0.2959183673469387
Muriel's Wedding,0.5714285714285714,0.0,0.0,0.0,0.0,0.03571428571428571,0.32142857142857145,0.1326530612244898
Ace Pet Detective,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.09693877551020406
Backbeat,0.17857142857142858,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.04591836734693877
Bitter Moon,0.03571428571428571,0.0,0.0,0.0,0.03571428571428571,0.0,0.03571428571428571,0.015306122448979591
Clear and Present Danger,0.6785714285714286,0.9642857142857143,0.8571428571428571,0.9285714285714286,0.10714285714285714,0.10714285714285714,0.0,0.5204081632653061
Corrina,0.6785714285714286,0.0,0.0,0.0,0.07142857142857142,0.0,0.14285714285714285,0.12755102040816327
Crooklyn,0.5357142857142857,0.0,0.0,0.0,0.03571428571428571,0.10714285714285714,0.17857142857142858,0.12244897959183673
Cobb,0.07142857142857142,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.015306122448979591
Forrest Gump,0.5,0.03571428571428571,0.03571428571428571,0.21428571428571427,0.03571428571428571,0.2857142857142857,0.17857142857142858,0.1836734693877551
Four Weddings and a Funeral,0.5,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.09183673469387754
I Love Trouble,0.42857142857142855,0.7142857142857143,0.75,0.17857142857142858,0.0,0.0,0.14285714285714285,0.31632653061224486
It Could Happen to You,0.7857142857142857,0.0,0.0,0.0,0.03571428571428571,0.0,0.14285714285714285,0.1377551020408163
Maverick,0.6071428571428571,0.39285714285714285,0.07142857142857142,0.2857142857142857,0.21428571428571427,0.35714285714285715,0.07142857142857142,0.2857142857142857
Mrs. Parker and the Vicious Circle,0.07142857142857142,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.015306122448979591
Speed,0.03571428571428571,0.8928571428571429,0.8928571428571429,0.6428571428571429,0.0,0.0,0.0,0.3520408163265306
Speechless,0.5357142857142857,0.0,0.0,0.0,0.0,0.03571428571428571,0.17857142857142858,0.10714285714285714
Timecop,0.17857142857142858,0.6428571428571429,0.8214285714285714,0.21428571428571427,0.0,0.0,0.0,0.26530612244897955
True Lies,0.6428571428571429,0.5357142857142857,0.8571428571428571,0.21428571428571427,0.14285714285714285,0.35714285714285715,0.10714285714285714,0.40816326530612246
Wolf,0.6071428571428571,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.09183673469387754
Wyatt Earp,0.21428571428571427,0.8214285714285714,0.10714285714285714,0.8214285714285714,0.03571428571428571,0.0,0.0,0.2857142857142857
Bad Company,0.0,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.03571428571428571,0.6428571428571429,0.0,0.3673469387755102
Street Fighter,0.10714285714285714,0.8928571428571429,0.8214285714285714,0.8571428571428571,0.0,0.14285714285714285,0.03571428571428571,0.4081632653061224
Mirage,0.14285714285714285,0.5714285714285714,0.8928571428571429,0.17857142857142858,0.0,0.0,0.0,0.25510204081632654
Addams Family Values,0.6785714285714286,0.7142857142857143,0.03571428571428571,0.5357142857142857,0.35714285714285715,0.0,0.21428571428571427,0.36224489795918374
Airheads,0.4642857142857143,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07653061224489796
